CALENDAR_YEAR,FINANCIAL_YEAR,COUNTRY,TOTAL_POPULATION
1971,1971/72,England,"46,411,700"
1972,1972/73,England,"46,571,900"
1973,1973/74,England,"46,686,200"
1974,1974/75,England,"46,682,700"
1975,1975/76,England,"46,674,400"
1976,1976/77,England,"46,659,900"
1977,1977/78,England,"46,639,800"
1978,1978/79,England,"46,638,200"
1979,1979/80,England,"46,698,100"
1980,1980/81,England,"46,787,200"
1981,1981/82,England,"46,820,800"
1982,1982/83,England,"46,777,300"
1983,1983/84,England,"46,813,700"
1984,1984/85,England,"46,912,400"
1985,1985/86,England,"47,057,400"
1986,1986/87,England,"47,187,600"
1987,1987/88,England,"47,300,400"
1988,1988/89,England,"47,412,300"
1989,1989/90,England,"47,552,700"
1990,1990/91,England,"47,699,100"
1991,1991/92,England,"47,875,000"
1992,1992/93,England,"47,998,000"
1993,1993/94,England,"48,102,300"
1994,1994/95,England,"48,228,800"
1995,1995/96,England,"48,383,500"
1996,1996/97,England,"48,519,100"
1997,1997/98,England,"48,664,800"
1998,1998/99,England,"48,820,600"
1999,1999/00,England,"49,032,900"
2000,2000/01,England,"49,233,300"
2001,2001/02,England,"49,449,700"
2002,2002/03,England,"49,679,300"
2003,2003/04,England,"49,925,500"
2004,2004/05,England,"50,194,600"
2005,2005/06,England,"50,606,000"
2006,2006/07,England,"50,965,200"
2007,2007/08,England,"51,381,100"
2008,2008/09,England,"51,815,900"
2009,2009/10,England,"52,196,400"
2010,2010/11,England,"52,642,500"
2011,2011/12,England,"53,107,200"
2012,2012/13,England,"53,506,800"
2013,2013/14,England,"53,918,700"
2014,2014/15,England,"54,370,300"
2015,2015/16,England,"54,808,700"
2016,2016/17,England,"55,289,000"
2017,2017/18,England,"55,619,500"
2018,2018/19,England,"55,924,500"
2019,2019/20,England,"56,230,100"
2020,2020/21,England,"56,326,000"
2021,2021/22,England,"56,554,900"
2022,2022/23,England,"57,106,400"
2023,2023/24,England,"57,690,300"
1971,1971/72,Scotland,"5,235,600"
1972,1972/73,Scotland,"5,230,600"
1973,1973/74,Scotland,"5,233,900"
1974,1974/75,Scotland,"5,240,800"
1975,1975/76,Scotland,"5,232,400"
1976,1976/77,Scotland,"5,233,400"
1977,1977/78,Scotland,"5,226,200"
1978,1978/79,Scotland,"5,212,300"
1979,1979/80,Scotland,"5,203,600"
1980,1980/81,Scotland,"5,193,900"
1981,1981/82,Scotland,"5,180,200"
1982,1982/83,Scotland,"5,164,500"
1983,1983/84,Scotland,"5,148,100"
1984,1984/85,Scotland,"5,138,900"
1985,1985/86,Scotland,"5,127,900"
1986,1986/87,Scotland,"5,111,800"
1987,1987/88,Scotland,"5,099,000"
1988,1988/89,Scotland,"5,077,400"
1989,1989/90,Scotland,"5,078,200"
1990,1990/91,Scotland,"5,081,300"
1991,1991/92,Scotland,"5,083,300"
1992,1992/93,Scotland,"5,085,600"
1993,1993/94,Scotland,"5,092,500"
1994,1994/95,Scotland,"5,102,200"
1995,1995/96,Scotland,"5,103,700"
1996,1996/97,Scotland,"5,092,200"
1997,1997/98,Scotland,"5,083,300"
1998,1998/99,Scotland,"5,077,100"
1999,1999/00,Scotland,"5,072,000"
2000,2000/01,Scotland,"5,062,900"
2001,2001/02,Scotland,"5,064,200"
2002,2002/03,Scotland,"5,066,000"
2003,2003/04,Scotland,"5,068,500"
2004,2004/05,Scotland,"5,084,300"
2005,2005/06,Scotland,"5,110,200"
2006,2006/07,Scotland,"5,133,100"
2007,2007/08,Scotland,"5,170,000"
2008,2008/09,Scotland,"5,202,900"
2009,2009/10,Scotland,"5,231,900"
2010,2010/11,Scotland,"5,262,200"
2011,2011/12,Scotland,"5,299,900"
2012,2012/13,Scotland,"5,313,600"
2013,2013/14,Scotland,"5,327,700"
2014,2014/15,Scotland,"5,347,600"
2015,2015/16,Scotland,"5,373,000"
2016,2016/17,Scotland,"5,404,700"
2017,2017/18,Scotland,"5,424,800"
2018,2018/19,Scotland,"5,438,100"
2019,2019/20,Scotland,"5,463,300"
2020,2020/21,Scotland,"5,466,000"
2021,2021/22,Scotland,"5,479,900"
2022,2022/23,Scotland,"5,447,700"
2023,2023/24,Scotland,"5,490,100"
1971,1971/72,Wales,"2,740,300"
1972,1972/73,Wales,"2,755,200"
1973,1973/74,Wales,"2,772,800"
1974,1974/75,Wales,"2,785,200"
1975,1975/76,Wales,"2,795,400"
1976,1976/77,Wales,"2,799,300"
1977,1977/78,Wales,"2,800,600"
1978,1978/79,Wales,"2,804,300"
1979,1979/80,Wales,"2,810,100"
1980,1980/81,Wales,"2,815,800"
1981,1981/82,Wales,"2,813,500"
1982,1982/83,Wales,"2,804,300"
1983,1983/84,Wales,"2,803,300"
1984,1984/85,Wales,"2,800,700"
1985,1985/86,Wales,"2,803,400"
1986,1986/87,Wales,"2,810,900"
1987,1987/88,Wales,"2,822,600"
1988,1988/89,Wales,"2,841,200"
1989,1989/90,Wales,"2,855,200"
1990,1990/91,Wales,"2,861,500"
1991,1991/92,Wales,"2,873,000"
1992,1992/93,Wales,"2,877,700"
1993,1993/94,Wales,"2,883,600"
1994,1994/95,Wales,"2,887,400"
1995,1995/96,Wales,"2,888,500"
1996,1996/97,Wales,"2,891,300"
1997,1997/98,Wales,"2,894,900"
1998,1998/99,Wales,"2,899,500"
1999,1999/00,Wales,"2,900,600"
2000,2000/01,Wales,"2,906,900"
2001,2001/02,Wales,"2,910,200"
2002,2002/03,Wales,"2,922,900"
2003,2003/04,Wales,"2,937,700"
2004,2004/05,Wales,"2,957,400"
2005,2005/06,Wales,"2,969,300"
2006,2006/07,Wales,"2,985,700"
2007,2007/08,Wales,"3,006,300"
2008,2008/09,Wales,"3,025,900"
2009,2009/10,Wales,"3,038,900"
2010,2010/11,Wales,"3,050,000"
2011,2011/12,Wales,"3,063,800"
2012,2012/13,Wales,"3,070,900"
2013,2013/14,Wales,"3,071,100"
2014,2014/15,Wales,"3,073,800"
2015,2015/16,Wales,"3,072,700"
2016,2016/17,Wales,"3,077,200"
2017,2017/18,Wales,"3,081,400"
2018,2018/19,Wales,"3,083,800"
2019,2019/20,Wales,"3,087,700"
2020,2020/21,Wales,"3,104,500"
2021,2021/22,Wales,"3,105,600"
2022,2022/23,Wales,"3,131,600"
2023,2023/24,Wales,"3,164,400"
1971,1971/72,Great Britain,"54,387,600"
1972,1972/73,Great Britain,"54,557,700"
1973,1973/74,Great Britain,"54,692,900"
1974,1974/75,Great Britain,"54,708,700"
1975,1975/76,Great Britain,"54,702,200"
1976,1976/77,Great Britain,"54,692,600"
1977,1977/78,Great Britain,"54,666,600"
1978,1978/79,Great Britain,"54,654,800"
1979,1979/80,Great Britain,"54,711,800"
1980,1980/81,Great Britain,"54,796,900"
1981,1981/82,Great Britain,"54,814,500"
1982,1982/83,Great Britain,"54,746,200"
1983,1983/84,Great Britain,"54,765,100"
1984,1984/85,Great Britain,"54,852,000"
1985,1985/86,Great Britain,"54,988,600"
1986,1986/87,Great Britain,"55,110,300"
1987,1987/88,Great Britain,"55,222,000"
1988,1988/89,Great Britain,"55,331,000"
1989,1989/90,Great Britain,"55,486,000"
1990,1990/91,Great Britain,"55,641,900"
1991,1991/92,Great Britain,"55,831,400"
1992,1992/93,Great Britain,"55,961,300"
1993,1993/94,Great Britain,"56,078,300"
1994,1994/95,Great Britain,"56,218,400"
1995,1995/96,Great Britain,"56,375,700"
1996,1996/97,Great Britain,"56,502,600"
1997,1997/98,Great Britain,"56,643,000"
1998,1998/99,Great Britain,"56,797,200"
1999,1999/00,Great Britain,"57,005,400"
2000,2000/01,Great Britain,"57,203,100"
2001,2001/02,Great Britain,"57,424,200"
2002,2002/03,Great Britain,"57,668,100"
2003,2003/04,Great Britain,"57,931,700"
2004,2004/05,Great Britain,"58,236,300"
2005,2005/06,Great Britain,"58,685,500"
2006,2006/07,Great Britain,"59,084,000"
2007,2007/08,Great Britain,"59,557,400"
2008,2008/09,Great Britain,"60,044,600"
2009,2009/10,Great Britain,"60,467,200"
2010,2010/11,Great Britain,"60,954,600"
2011,2011/12,Great Britain,"61,470,800"
2012,2012/13,Great Britain,"61,891,300"
2013,2013/14,Great Britain,"62,317,400"
2014,2014/15,Great Britain,"62,791,700"
2015,2015/16,Great Britain,"63,254,400"
2016,2016/17,Great Britain,"63,770,900"
2017,2017/18,Great Britain,"64,125,700"
2018,2018/19,Great Britain,"64,446,500"
2019,2019/20,Great Britain,"64,781,100"
2020,2020/21,Great Britain,"64,896,400"
2021,2021/22,Great Britain,"65,140,400"
2022,2022/23,Great Britain,"65,685,700"
2023,2023/24,Great Britain,"66,344,800"
